0	01	20,21,183,70,286,287,142,340,565,117,197,160,190,338,155,70,270,341,593,159,82,54,272,162,0,0,0,0,0	3
0	02	40,21,105,12,1,2,3,4,6,40,148,614,344,126,127,351,260,25,0,0,0,0,0,0,0,0,0,0,0	3
0	03	21,182,323,636,638,373,107,639,640,78,96,148,641,642,21,643,51,191,292,334,0,0,0,0,0,0,0,0,0	3
0	05	40,21,41,563,1,2,3,4,6,57,74,59,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3
0	08	675,676,40,51,51,182,33,27,104,21,145,146,28,271,212,326,21,256,110,395,677,0,0,0,0,0,0,0,0	3
0	04	363,211,683,429,299,257,153,90,336,255,257,182,33,27,104,21,145,146,0,0,0,0,0,0,0,0,0,0,0	3
0	09	21,239,194,531,532,357,15,98,359,360,159,329,684,349,685,358,15,360,686,687,688,0,0,0,0,0,0,0,0	3
0	07	673,701,248,84,117,197,163,5,123,236,42,353,85,25,105,12,0,0,0,0,0,0,0,0,0,0,0,0,0	3
0	11	21,239,194,373,107,40,21,350,248,75,405,213,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3
0	12	704,311,683,15,84,705,706,705,182,707,708,703,329,379,20,21,271,111,59,110,0,0,0,0,0,0,0,0,0	3
0	13	704,311,683,15,57,51,51,182,33,27,104,21,145,146,351,260,0,0,0,0,0,0,0,0,0,0,0,0,0	3
0	14	152,153,492,711,240,712,21,59,25,255,72,73,40,51,487,488,492,711,213,214,0,0,0,0,0,0,0,0,0	3
0	15	714,715,386,84,85,40,152,153,90,336,33,27,104,21,145,146,351,260,0,0,0,0,0,0,0,0,0,0,0	3
0	16	1,2,3,4,6,183,486,20,21,545,147,3,192,716,717,718,440,3,719,40,57,0,0,0,0,0,0,0,0	3
0	17	20,21,725,42,1,2,3,4,6,190,80,116,23,52,328,255,190,80,116,566,111,329,474,401,59,110,0,0,0	3
0	18	21,152,153,65,225,40,148,102,132,240,12,44,195,505,733,734,290,152,135,136,40,148,0,0,0,0,0,0,0	3
0	19	508,35,585,763,462,764,350,764,222,765,255,30,345,55,56,62,63,65,225,107,221,13,111,25,99,20,21,26,27	3
0	20	20,21,1,2,3,4,6,142,33,768,492,711,59,110,13,111,0,0,0,0,0,0,0,0,0,0,0,0,0	3
0	31	757,14,683,683,182,776,708,373,107,20,21,70,406,673,74,52,107,221,51,0,0,0,0,0,0,0,0,0,0	3
0	30	297,102,117,204,305,78,15,280,307,294,153,25,294,788,59,110,25,105,12,0,0,0,0,0,0,0,0,0,0	3
0	29	40,21,57,74,159,798,122,471,64,461,59,110,545,799,96,732,0,0,0,0,0,0,0,0,0,0,0,0,0	3
0	040	436,437,438,800,374,257,706,257,182,33,27,104,21,212,27,256,110,145,146,0,0,0,0,0,0,0,0,0,0	3
